es_id,es001,es002,es003,es010,es011,es012,es013,es014,es015,es016,es017,es018,es021,es022,es023,es024,es025,es026,es027,es028,es029,es030,es031,es032,es033,es034,es035,es036,es037,es038,es039,es040,es041,es042,es043,es044,es045,es046,es047,es048,es049,es050,es051,es052,es053,es054,es055,es056,es057,es062,es063,es064,es065,es066,es067,es068,es069,es070,es071,es072,es073,es074,es075,es076,es077,es078,es079,es082,es083,es084,es085,es086,es087,es088,es089,es090,es091,es092,es093,es094,es095,es096,es097,es098,es099,es100,es101,es102,es103,es104,es105,es106,es107,es108,es109,es110,es111,es112,es113,es114,es115,es116,es117,es118,es119,es120,es121,es122,es123,es124,es125,es126,es127,es128,es129,es130,es131,es132,es133,es134,es135,es136,es137,es138,es139,es140,es141,es160,es161,es162,es163,es164,es165,es166,es167,es168,es169,es170,es171,es172,es173,es174,es175,es176,es177,es178,es179,es180,es181,es182,es183,es184,es185,es186,es187,es188,es189,es190,es191,es192,es193,es194,es195,es196,es197,es198,es199,es200,es201,es202,es203,es204,es205,es206,es207
es137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05238095238095239,0,0.05238095238095239,0,0.05238095238095239,0,0.10476190476190478,0,0.05238095238095239,0,0.05238095238095239,0,0.03973512197011938,0,0.04042512777524197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496031746031746,0,0.0496031746031746,0,0.0496031746031746,0,0.0496031746031746,0,0.0992063492063492,0,0.0496031746031746,0,0.03518684363304797,0,0.0496031746031746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05238095238095239,0,0.05238095238095239,0,0.05238095238095239,0,0.05238095238095239,0,0.10476190476190478,0,0.05238095238095239,0,0.03973512197011938,0,0.04042512777524197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496031746031746,0,0.0496031746031746,0,0.0496031746031746,0,0.0496031746031746,0,0.0496031746031746,0,0.0992063492063492,0,0.03518684363304797,0,0.0496031746031746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05238095238095239,0,0.05238095238095239,0,0.05238095238095239,0,0.05238095238095239,0,0.05238095238095239,0,0.10476190476190478,0,0.03973512197011938,0,0.04042512777524197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03518684363304797,0,0.03518684363304797,0,0.03518684363304797,0,0.03518684363304797,0,0.03518684363304797,0,0.03518684363304797,0,0.05277777777777778,0,0.03518684363304797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03973512197011938,0,0.03973512197011938,0,0.03973512197011938,0,0.03973512197011938,0,0.03973512197011938,0,0.03973512197011938,0,0.0627450980392157,0,0.031825547480913534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496031746031746,0,0.0496031746031746,0,0.0496031746031746,0,0.0496031746031746,0,0.0496031746031746,0,0.0496031746031746,0,0.03518684363304797,0,0.0992063492063492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040425127775241966,0,0.040425127775241966,0,0.040425127775241966,0,0.040425127775241966,0,0.040425127775241966,0,0.040425127775241966,0,0.031825547480913534,0,0.06458333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
es181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.126984126984127,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635,0,0.0634920634920635
es182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.11805555555555555,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0,0.059027777777777776,0
